ID,Katakana text Translated,Sentiment
24,Jonathan Kraft has been stepping out of his father's shadow http://t.co/9aD1Eb1pB6,3
25,25 #000 Kraft Bubble Mailers #Kraft #BubbleMailer #Envelope #ForSale #ShippingSupplies via @eBay http://t.co/2yY3f3w6Ed,P
26,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/83dmrdQc26 #CookingUpGood,P
27,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/PF4m23ppSv #CookingUpGood,P
28,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/PF4m23ppSv,P
29,Watch Kraft Dinner DESTROY American mac 'n cheese (but we're a bit biased) http://t.co/8Am4Ms90km http://t.co/urj951uPN1,P
30,RT @Kawaii_Goodies: #vintage inspired #newsprint #bags http://t.co/ercgB3XbRD #newspaper #pioneer #oldendays #SNRTG #etsymntt #wildwest htt…,3
31,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/LpqWZfvJHb #CookingUpGood,P
32,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/vhR1n1wXnE,P
33,I see respect your point. RT @_kpeterson: @Nicole_Kraft I hope this makes sense! I’m really conflicted about it http://t.co/wGifH2v5aH,3
34,Wrap it up http://t.co/AGWjQHzaBw #startup #vancouver #toronto #handmadebot #trendit #share #homespunsoicety,P
35,Today stats: 3 followers One unfollower and followed 3 people via http://t.co/bAIWTx29JD,3
36,Kraft Dinner never gets old,P
37,Yum! This spicy Kraft Dinner has a kick! Complementing the salted Edamame. Is that how you spell those? #soy,P
38,@nkhensley PATRIOTS FOR THE PATRIOT BLOB! KRAFTS FOR THE KRAFT QUEEN,N
39,Scott Garceau: So Sorry Mr. Kraft http://t.co/WY2G6DRD9Z,N
40,Remember that time Putin may have stolen Patriots owner Robert Kraft's Super Bowl ring? http://t.co/cffVf3cgAe,N
41,RT @Kawaii_Goodies: #kraft brown #businesscard #envelopes http://t.co/rReEfziVyQ #etsymntt #branding #marketing #lovenotes #giftcard http:/…,N
42,I got Chicken Wonton Cups http://t.co/Dur0ley1gQ! Find your @LoveMyPhilly #GameDay recipe,P
43,Kraft-ing Engagement | Kraft Foods White Paper - #tech #mobile http://t.co/KGbnEXeQvm,3
44,http://t.co/IyZKthXlCV lesen danke ist nur trash we love to entertain u!,N
45,"Tomorrow 8am ET ESPN2: Fallout from ""Deflategate""reaction to Friday’s comments from Goodell",3
46,For Robert Kraft &amp; Rogr Goodell air still isnt clear #AFCChampionshipGame #BobKraft #NFL #RobertKraft #RogerGoodell http://t.co/ZuQ0nQz7aM,3
47,Wrap it up http://t.co/vimCBuOd68 #startup #vancouver #toronto #handmadebot #trendit #share #homespunsoicety,P
48,“@OrganicMami: “@Sanyalala: Not that fake crusty KRAFT cheese” <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ilu lmao” <U+2764><U+FE0F>,N
49,“@Sanyalala: Not that fake crusty KRAFT cheese” <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ilu lmao,N
50,Not that fake crusty KRAFT cheese,N
51,RT @TheBarnyardUMN: Retweet and follow @TheBarnyardUMN for a free shirt from @BigTenNetwork. #StateToTheEastWeek #March2ndTo5th http://t.c…,3
52,TradeKraft Property Services News is out! http://t.co/bwoOGFHR3Y Stories via @TheLetMaster @FitFoxy @CentralLDN,3
53,"I just uploaded ""Technoshell-First-Preview"" to Vimeo: http://t.co/b5TR0wD7m7",3
54,1/18 Carousel / 1955 Kurtis Kraft #10 Chapman Special- Tony Bettenhausen http://t.co/AoQBz7bMQl http://t.co/7xHolmNyZ6,3
55,The 73-Year-Old Patriots Owner Bob Kraft Has a Girlfriend Half His Age! http://t.co/lWrEyxofIG :: Forget the Super Bowl...He's already won!,N
56,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/CIsNthJN2r,P
57,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/YDS1bJcN1q #CookingUpGood,P
58,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/Js5ADlRCjE #SuperBowlXLIX @PatsGazette,N
59,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/YDS1bJcN1q,P
60,Check out my @aboutdotme page - http://t.co/La290Z5R7o. Get yours now before all the names are gone. http://t.co/8R67EeBPDt,3
61,#vintage inspired #newsprint #bags http://t.co/ercgB3XbRD #newspaper #pioneer #oldendays #SNRTG #etsymntt #wildwest http://t.co/aoMqXGa1uO,P
62,after the game tomorrow robert kraft will apologize for his john madden cosplay,N
63,RT @Life_and_Style: The #Patriots owner #BobKraft has a girlfriend half his age! See pics of the blonde bombshell. http://t.co/DpEa7EXs2z h…,N
64,@jacobrose__ last time I cooked Kraft dinner i burnt it....,N
65,T&amp;F: Kraft Hits PR; Baldwin Betters Provisional Mark in Colorado http://t.co/2G5QkVvnVD,3
66,@BestPuppiesPics @Bitch_Kraft looked cool,N
67,@courtney_1 you cant make kraft dinner or something ..?,N
68,"""Fleetwood... Mac &amp; Cheese!"" followed by a facepalm because Mick knew he was 40 years too late to land a Kraft corporate tie-in.",N
69,@Bri_Kraft @JRothy_ take that k out of there to make Lucy's and that's me!,3
70,@graciopp @WFANTrades @NotShermanLOB @uspto Bob Kraft demands an apology.,N
71,@FrankSarrgosox @mjd877 rogers was prior to handing balls to refs to check. Jets guy is a convenient patsy for Kraft and co. IMO,N
72,A nine billion dollar non profit that wants taxpayers to foot the bill for their stadia yet Kraft built his with his own money,N
73,If a girl tried feeding me Kraft Mac and cheese and cosmic brownies for dinner I just might have to choke slam her,N
74,Today stats: 8 followers 2 unfollowers and followed 4 people via http://t.co/pK5wveI2uO,3
75,Kraft on speech: I didn't like being unfairly attacked: New England Patriots owners Robert Kraft said he gave his… http://t.co/zyUMwZwYev,3
76,Kraft on speech: I didn't like being unfairly attacked http://t.co/1o2jBBIWol #NewEnglandPatriots #SeattleSeahawks #TomBrady,3
77,I think I've been cold for a straight month now,N
78,@TargetCanada things that make you go hmmmm. Kraft dinner $1.20ea or box of 12 for $19.99.. Separate for $14.40 what the hell lol.,N
79,Kraft on speech: I didn't like being unfairly attacked http://t.co/M9btRMtBnz,3
80,Kraft on speech: I didn't like being unfairly attacked http://t.co/1102nXza5g,3
81,Kraft cheese is plastic.. not food anymore. http://t.co/9BV82D07y7,N
82,RT @BabyAnimalPics: If you're having a bad day just look at this baby elephant's first time on the beach http://t.co/Sw4Q4HEKaX,N
83,There's never a wrong time for Kraft Mac &amp; Cheese.,P
84,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/aYv8UJQ8P5 #CookingUpGood,P
85,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/aYv8UJQ8P5,P
86,@WFANTrades @NotShermanLOB Haha! I'm honored so many people are using it. Maybe next time i should sign it... though then Kraft will sue me,N
87,Tomorrow will be history. 4 rings in 13 years. #TomBrady #BillBelichick #Kraft #PatriotsNation,P
88,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/xU3HyLI5CW #CookingUpGood,P
89,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/6o08oG8UpH,P
90,Gotta master your Kraft when you after the cheese,3
91,Help me with a Walmart gift card when you enter too! https://t.co/2TFNs37dOx,3
92,RT @My3DPrinting: Make’s Caleb Kraft 3D Prints Modular Thumbstick Extentions for Handicapped Video Gamers - http://t.co/FCCMTHUJZk http://t…,3
93,@jtux716 him and Kraft love each other they'll sweep it under the rug somehow,N
94,@shalisemyoung thanks! Assumed it was a Kraft based on the footwear!,3
95,How Kraft Harnessed Data to Transform Marketing http://t.co/Bu0OcTIiE6,3
96,Having parents tell Kraft and I that we do a really good job make it all worth it.,P
97,RT @WowBeerGifs: Hold my beer while I impress this girl. http://t.co/UZOe3VyrJh,P
98,Find great recipes from Kraft. #cookingupgood http://t.co/uVTaYf0q6W,P
99,RT @GlobalGrindNews: Outgoing Defense Secretary Chuck Hagel said troops might be needed in Iraq to help turn back Islamic State forces http…,3
100,Say NO to buying Lunchables until Kraft/Oscar Mayer stops using meat from farms that use antibiotics https://t.co/J3hFsHUd2F via @Change,N
101,#Patriots Wire: Kraft on speech: I didn't like being unfairly attacked http://t.co/LM1YdzEQdh http://t.co/HIrimaJiOs,3
102,Petrol Generator KH3000 Kraft Hertz Generator -DIRECT FROM GERMANY FREE TO UK http://t.co/dKPy13amXJ http://t.co/5eyqJVwihG,3
103,All day track meet got me like http://t.co/h80ufBP40B,3
104,Petrol Generator KH3000 Kraft Hertz Generator -DIRECT FROM GERMANY FREE TO UK http://t.co/7AaVoEmUNY http://t.co/Rn8R9piEOR,3
105,Josh and I after special olympics swimming practice this morning. Saw a Lego dude in the rec center. Couldn't... http://t.co/FnBf0cUzIt,3
106,@Bitch_Kraft I wouldn't mind a candy dinner but <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,N
107,@DBOMB4EVER fuck off <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,N
108,@Bitch_Kraft that's why I'm cooking <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,N
109,Big Matt and the Humber Valley Sharks: GTHL Kraft Cup Champions! http://t.co/IqmWmMT50L,3
110,The #Patriots owner #BobKraft has a girlfriend half his age! See pics of the blonde bombshell. http://t.co/DpEa7EXs2z http://t.co/0kIklxfree,N
111,#LiveWireTV #SLAPTV Kraft on speech: I didn't like being unfairly attacked http://t.co/hHkeoXes62 #LiveWireAthletics,3
112,#LiveWireTV #SLAPTV Kraft on speech: I didn't like being unfairly attacked http://t.co/jPWQMZOxOd #LiveWireAthletics,3
113,#LiveWireTV #SLAPTV Kraft on speech: I didn't like being unfairly attacked http://t.co/HE0aRsW2Ta #LiveWireAthletics,
114,#LiveWireTV #SLAPTV Kraft on speech: I didn't like being unfairly attacked http://t.co/Ez3st3MPpS #LiveWireAthletics,
115,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/ZEv6P80Gri #CookingUpGood,P
116,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/ZsGjDmlXZq,P
117,RT @FLGM_AFC_news: NEP CSN: Tanguay: Goodell-Kraft relationship must be strained http://t.co/6tzTyG73XV,N
118,RT @yasue_862: logo corporate branding visual graphic identity kraft paper desi http://t.co/AoGfE3z71v http://t.co/iAxnvNWiye,3
119,@AliAbunimah @RaniaKhalek Patriots owner Kraft: big Netanyahu fan vocally supported 2014 IDF terrorism http://t.co/dUEdGQTZyR,3
120,RT @AwwwAnimaIs: when your mom calls you to come eat but the foods not ready yet http://t.co/VCbHTzgZzo,N
121,RT @AwwwAnimaIs: when a dog sees its owner its brain secretes the same substances as ours when we are in love http://t.co/IPsw2AK48v,P
122,RT @NoChillFunny: When you hand your daughter the aux cord but she plays iggy http://t.co/iH5FuEYvQ1,N
123,RT @tbhstew: That awkward moment when you have to stare at a text for five minutes to figure out how to reply.,N
124,Jonathan Kraft has been stepping out of his father’s shadow: Sweden to Kuala Lumpur8,3
125,I'm so good at making dinner I will be a fab wife <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> http://t.co/af5h19FRV3,P
126,RT @The90sLife: On every cup in the 90s http://t.co/YFd9fabmGD,3
127,Cheesy Hot Dog Flautas Recipe - Kraft Recipes http://t.co/4GgmIgBUgr,P
128,bout to try making Kraft Dinner in the microwave #experimenting #madscientist,3
129,Principled position is to support anti-war Pete Carroll over pro occupation &amp; IDF bob kraft http://t.co/6rKiPJiJqG via @HuffPostSports,3
130,I judge people who use Kraft Parmesan cheese.... Just no...,3
131,RT @TXPatsSteveR: @ewjjr1 @JulesToDanny The win will be sweet but the noise will continue. NFL has looked bad this year &amp; Kraft called the…,N
132,Kraft dinner is god,P
133,@SethBarnettEsq next to Bolden is Dan Kraft...Ernie is in last row to Caserio's right - he's hard to see,3
134,The Breakup: Robert Kraft Roger Goodell headed in different directions - @cpriceNFL http://t.co/487nmANRo3 http://t.co/dQD8KNvNIo,N
135,I liked a @YouTube video http://t.co/VRhvdBC2sq Why Would You Do That?? - Kraft Dinner Race,3
136,This Sunday watch the full story that follows the struggles of a hardworking and close-knit family striving for... http://t.co/lcW5IiPOOu,3
137,@ewjjr1 @JulesToDanny The win will be sweet but the noise will continue. NFL has looked bad this year &amp; Kraft called them out.,
138,@GAPPYRANKS @Kraft_House what's ur schedule this week like?,3
139,Really craving mac and cheese!!! #Kraft,P
140,RT @GlobalGrind: Telemarketer in Vegas helped deputies discover a 33-year-old woman who was beaten and strangled http://t.co/7rHF2c0Ymu,N
141,Kraft Washi Tape by MT Japan http://t.co/CbwhYFK7Vo,
142,#kraft brown #businesscard #envelopes http://t.co/rReEfziVyQ #etsymntt #branding #marketing #lovenotes #giftcard http://t.co/XsmJi2WOWp,P
143,Kraft Washi Tape by MT Japan http://t.co/ch9osknEum,P
144,@scknows this is true. And Kraft who is probably both.,P
145,RT @Zedd: @Skrillex Bro!!! U can stop! :) Every single day after you stop you and your lungs will feel much better!!! :),
146,RT @NBLmusicSalerno: #RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @KermitHenderson,N
147,RT @selenkarusso: Remember when.. http://t.co/83yukhrjw3,
148,Bonus question for @cgasper do u know Bob Kraft. Your hero isn't the founder of life or the NFL. Go back to NY Penns. Ohio where ever,N
149,A huge well done to Kraft for destroying that unique taste of the Cadbury Creme Egg.,P
150,I liked a @YouTube video http://t.co/rLRSMhiUlI American Mac 'N' Cheese Vs. Canadian Kraft Dinner,P
151,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @dreskillz22,N
152,I'm giving away: Brand NEW 25 Size #0 7.5 x 10 Kraft Bubble Mailers Self Sealing Bulk Padded . http://t.co/Nsof9bzSUB #listia,
153,I'm giving away: Brand NEW 50 Size #2 8.5x11 Kraft Bubble Mailers Padded Envelopes. Check it o http://t.co/iJk0FrSB9x #listia,
154,RT @Spellbinders: #Spellbinders International Ambassador: Christine Emberson shares her tutorial to create #kraft gift… http://t.co/oBbpAgh…,P
155,Breaking news Robert Kraft bails out Arron Hernandez for Sunday. Sources sY he expected to kill it in the Super Bowl #overusedjokes,N
156,@RiseChriss I just followed you.,P
157,"RT @SaveNoHoes: Bitches be like ""I'm taken"" yeah you're taken for granted that nigga don't love you",
158,RT @CumAzYouAre: my future in a photo http://t.co/KeetmYsvmS,P
159,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @VIDEOMIXTV,N
160,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @WILDMAN333,N
161,Looking for updates on the store? On my projects? Check out the Kiroro Kraft Twitter @Kirorokraft!,P
162,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @OnBeatStudios,N
163,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @IRIE,N
164,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @jdenver,N
165,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @DaniMarieSuarez,N
166,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @DJAngelMiami,N
167,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @nastynes1,N
168,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @LaviBeats,N
169,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @StevePina,N
170,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @joe_granda,N
171,RT @HarleyPlays: The Laser Rifle handshake w/ @MatthewSantoro @stevezaragoza https://t.co/dp9RPrNFQp,P
172,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @radioairplaypro,N
173,#coupons RESET! Two Super-RARE Kraft Parmesan printable coupons (including $1.50/1!): Here are some more nice ... http://t.co/qCgaCeOxYW,P
174,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @RAYLO561,N
175,RT @BeaMiller: currently eating my third microwaveable kraft mac n cheese bowl today. this tweet describes me better than anything else eve…,N
176,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/anur9Kcbao,P
177,Deflate-Gate Update: Kraft Demands Apology if No Hard Evidence is ... http://t.co/5COj6qsqCQ,
178,Home town #Oceanside #Eastside #Langford #Holly #Bush #SanDiego #Lemon #Kraft http://t.co/jV1VpTkt8a,P
179,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @fullersoundmike,N
180,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @AcId150,N
181,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ChicoVroc,N
182,Currently suing Kraft,N
183,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @DuaneDaRock,N
184,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @maxriolo,N
185,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @DeejayLarryLarr,N
186,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ozayas,N
187,I got Buffalo Chicken Dip http://t.co/BTbIYQ3oWo! Find your @LoveMyPhilly #GameDay recipe,
188,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ToineTheDon,N
189,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @Stacey_James,N
190,"@Patriots Do your Job both on and off the field remember as Mr Kraft said ""We are all Patriots"" and congrats to Bruschi",
191,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @JumboHart,N
192,RT @andyover: Hey Goodell. Quit your day job. #patriots Owner Robert Kraft Is absent at Goodell's Address http://t.co/lnDNjOhul7 #SuperBow…,N
193,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @TonyMassarotti,N
194,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @pfwpaul,N
195,@Elissalash Welcome to twitter! Amy Kraft is here too as @mediamacaroni,P
196,All I want right now is a nice yummy bowl of Kraft Mac&amp;Cheese<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> preferably spongebob shape,P
197,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @NVisNoelValei,N
198,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @djkhaled,N
199,Pitbull is taking the Pats. Just hand over the Lombardi to Robert Kraft right now. @CollinsMikael,P
200,http://t.co/Xcn339u2kf Jonathan Kraft has been stepping out of his father's shadow - Boston Globe http://t.co/Jc2j3e33H1,N
201,@BillSimmons is there going to be a sequel to The Interview where Affleck &amp; Damon get Bob Kraft's ring back from Putin?,
202,RT @theMMQB: The media isn't doing it says @ddockett so the Cardinals DE takes it upon himself to air the NFL's dirty laundry: http://t.c…,
203,You over there all caught up in your feelings <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><U+270B>,
204,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @985TheSportsHub,N
205,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @PatriotsExtra,N
206,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @KNKChatham,N
207,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @GreshandZo,N
208,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @Toucherandrich,N
209,RT @11Leafs: Atom A Humber Valley Sharks- Kraft Cup time http://t.co/PbGdMNQiPL,P
210,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @TeamBoston,N
211,RT @CatPornx: Kitten taking a selfie! &gt; http://t.co/Xdsjz8I8ie,
212,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @MRB617,N
213,Hey Goodell. Quit your day job. #patriots Owner Robert Kraft Is absent at Goodell's Address http://t.co/lnDNjOhul7 #SuperBowlXLIX,
214,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @Dan_Lifshatz,N
215,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @BasalygaAlex,N
216,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @djnasty305,N
217,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @shalisemyoung,N
218,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @titopuentejr,N
219,@Saysha_Love Kraft mac&amp;cheese and chicken wangs....yaaaaas<ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>,P
220,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @MOXYpro,N
221,@THEONEWITHCP like Kraft dinner...I mean cmon!,N
222,Yummy new year #recipes #sweepstakes how-to videos &amp; more on from Kraft Foods on Walmart! http://t.co/y5pgI2nnHj #CookingUpGood,
223,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/y5pgI2nnHj,P
224,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @DatDamnMarley,N
225,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @celemagazine,N
226,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @Babes_We_Love,N
227,Super Bowl Big bucks: team owners Paul Allen (Seattle) and Robert Kraft (New England) have a combined net worth of more than $21B. #SB49,P
228,@BigGigantic Kraft sold out 8 days in a row in NYC in 5 minutes last year... And with the legend that is Daft Punk that ticket would FLY.,P
229,For real though what IS the powder that makes kraft dinner? An excuse for cheese? Radioactive waste? Who knows man,N
230,*HOT* Kraft Parmesan Coupons + Target Deal http://t.co/rueO0yDP7q #freebies #freestuff,
231,RT @NBLmusicSalerno: #RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @JamminJohnny106,N
232,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ESPNShayne_Mike,N
233,RT @NBLmusicSalerno: #RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ReK305,N
234,RT @NBLmusicSalerno: #RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @famepromotion,N
235,Bacon-Wrapped Jalapeño Poppers Recipe - Kraft Recipes http://t.co/sDiXBSrNjH,P
236,Kraft Parmesan and/or Barilla. Box Pasta as low as $.31 http://t.co/KJm5sVBDOK,
237,Idek how to make Kraft dinner lol,
238,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @famepromotion,N
239,#RobertKraft 'Don't Mess With Bill' #RTmusic https://t.co/GvHSp45U05 #SuperBowlXLIX @ReK305,N
